transaction_hash,sender_address,receiver_address,amount_eth,timestamp,gas_used,gas_price,block_number,gas_cost_eth,date,hour,day_of_week,month,is_standard_stake
0x55e8378c4b4d61eabf2cab3ddb826c58c31c3945929a519df5ef1194e12ddcd2,0x2a97f3b3e05b6bc883857d00cd4ea20492bfe7a4,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53438,1594593071,21997866,8.5211864528098e-05,2025-03-07,22,Friday,March,True
0x4c08b62997d06c691fab041311917d3351c9074848933f7d5ae5bbd7c03a127b,0xdbc2e0dd17e9c0d776e01d8ade273ec97eecd8e9,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x3d0210b9d758b0de0b7810dbb4c1ebbda9391c1450e2ab53e5177dae33fcee96,0x1b968de9666935031a8d0518dc7d53e83d62fc37,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,65344,1594593071,21997866,0.000104197089631424,2025-03-07,22,Friday,March,True
0x14af1375acfa0787807818fc2c11bc3b3397c604337291bb670396115198a32e,0xac0205e64537cddc44f5d17d8d9ec5871a154755,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xee4364b2c6ca4008ad2dea00f66c6d450ebb6005120335ca1a7828d408d5bf77,0x32f1d3c566ca97bb9233e21d44782853cb14a2da,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53414,1594593071,21997866,8.5173594294394e-05,2025-03-07,22,Friday,March,True
0xa314196033d557a377398e7b378212e118f6b6163574e6c6aedadd700f2fb824,0xbd40aaa646d11b1f34a2746c7beacf6e08c54a2c,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50438,1594593071,21997866,8.0428085315098e-05,2025-03-07,22,Friday,March,True
0x7f26280a35aed4d5703d0507e87a285297201ae1cc25764659b5104dbaf0c4d9,0x5d7ae81f7c18564275f3ed585d212bb27f5670c0,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,56402,1594593071,21997866,8.9938238390542e-05,2025-03-07,22,Friday,March,True
0xbd3ce690541bd6627afc0848150b176af9eeec1126c9d5ed974a14d258f9c4ed,0xd34b02522b493a0344246c30d71c8041b7df6e76,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xe233598dc216cb05452161d346b44b8153171765b7c5162d748d2a739847b35b,0x89f91a36eee5092db59ab8719ec8f61d29e8195e,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53426,1594593071,21997866,8.5192729411246e-05,2025-03-07,22,Friday,March,True
0x6801903f2ab90b64fb31ff66c4e5f3f4f7e4184f7e6d69300842e59892b0f005,0x35a1c9f95a2c765212ed7b1e90616a3ffeb975aa,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50426,1594593071,21997866,8.0408950198246e-05,2025-03-07,22,Friday,March,True
0x2ac370935e948573c67b5d8badb02bca08f2d20b2d5bb56347ab9c4dcf594646,0xb407ce00c0e21f5efa1d9894552ad8681b4c3262,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,59379,1594593071,21997866,9.4685341962909e-05,2025-03-07,22,Friday,March,True
0x1ca108935e2904983c7e487fba3f189dfe5590e9992b5129e3e6dcb42753d556,0xb434fbd9959b6c0d3ae910f81d3e72524734804d,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x5563448fded70aff29106b50b7f3f5c4760550fa8be624bcd2e079769bd581bb,0xab9729f70a77d3b60a6c01b6826cbd290e291118,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53438,1594593071,21997866,8.5211864528098e-05,2025-03-07,22,Friday,March,True
0x968c2ee4ea9fc3024315a623668d666d04a81e925acc7afa184c5c5600503df9,0x225162e706c5f8d10462956928982f8c7fc99476,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50426,1594593071,21997866,8.0408950198246e-05,2025-03-07,22,Friday,March,True
0x478bd8b07b76e25dea6474e737dc980a7fee715975e5e4172aa93441e982384a,0xbff880d5d620185eda1590a409aa61627197a797,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,56414,1594593071,21997866,8.9957373507394e-05,2025-03-07,22,Friday,March,True
0xdec8baed69c60f01507ee9cfb5959e7d735ec7e3e8fe4c4822e467d7f4bf913d,0x8952120f22a3940d8564948fadc4eea752cc2b0f,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xa5863d3ce4575ca20846125782a4defbeecb9d6bea3cc5b54e48405fbc484bd3,0x758d983ce0fd100f8e04545a7029203487ed526f,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53426,1594593071,21997866,8.5192729411246e-05,2025-03-07,22,Friday,March,True
0xf120fef3a430c737184e43dacb0c0b0c463ba6d076308e1811b320b90226859a,0x1463945a3a0e3002392c54e079b41a9471d78d42,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50450,1594593071,21997866,8.044722043195e-05,2025-03-07,22,Friday,March,True
0xdbcfb11db1c3df9a395181706efbeb130783c8af575fb0dfa5006ef97c8c87d6,0x2b719bc4fc00410826de8934db7b6f0b9efe508b,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,62367,1594593071,21997866,9.9449986059057e-05,2025-03-07,22,Friday,March,True
0x0e9483149eee1a9f4b3add658c6473c1cecbb8953208c24fe56575173e32dbbc,0x3638ee1cca449b7ca2d3f1e1952d3905e7dabe20,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50450,1594593071,21997866,8.044722043195e-05,2025-03-07,22,Friday,March,True
0xbe2da79ab12b489d0aee0c159f9370ab5176b59ffc88a8bec1ec534e8ab13f4e,0x4b578c02046b375412954ad5ded2c2bfd63a2c58,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53426,1594593071,21997866,8.5192729411246e-05,2025-03-07,22,Friday,March,True
0xfda6c844771f4aaedc7c45dc7bb38fd0f54f4dbbd4230e947398aefe3251292d,0x8af34590e1e1a2946880d60644cf25f0aeb792f4,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x8b8cca9503fc9ee671019295b6f96238b7f475cdfa24c99c564d6aa4fe5222ed,0x1ea07ad102f83e0464eee164a19e619f3994d608,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,56414,1594593071,21997866,8.9957373507394e-05,2025-03-07,22,Friday,March,True
0xa5b099bb9747afbd5b0abf26567b20a4ecd847edb8b6422da81c2ccd096ff631,0x22821108d65e10241c38eb5a34cf5d1f0443a3d6,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50438,1594593071,21997866,8.0428085315098e-05,2025-03-07,22,Friday,March,True
0x295524e46316cad6a744a0296ecdc409d7fdf687650fa1881b24e96e511b6b53,0x669207e9ea739da3b55f905763aa3b69a5b4dcfb,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53438,1594593071,21997866,8.5211864528098e-05,2025-03-07,22,Friday,March,True
0xe3bfe5a0230350fc6d9a772533be97f84c410085b82c794d42768078d7345a4b,0xd8bc623d50711ea45a6a55962109f66eb433ffa6,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x26b9a0c0c652bf34eb02799eaccf371dc4f2136d115faed5b8c1d98b34638a15,0x4510f70539b4bc0053aa15f7bf4dff8994dc0211,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,59391,1594593071,21997866,9.4704477079761e-05,2025-03-07,22,Friday,March,True
0xd1e7425ef49ae2269591d4570b71c54aa309041b819fe62e05d0c5526aa95366,0x042cd6b26873eb79732d8ccf10eaf3ca8ff64dc0,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xb10580a44c4cb958710ad0310557f13980f4b6c982c0be62d346eed1c1288271,0x12aeca386d7acf0ddc76758aa4483d069b577d2d,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53426,1594593071,21997866,8.5192729411246e-05,2025-03-07,22,Friday,March,True
0x9353c66183a68019e69383ba0ed25a3a594bafb5f309b19261bab20e8ae105ae,0xe1b0ad2eec05c0be985efe0178f22b40eabdf805,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50450,1594593071,21997866,8.044722043195e-05,2025-03-07,22,Friday,March,True
0x0e8fc04cf9316d8a5fa1657ac3ca1c5c130541ad65e30afaa5a5e6758d293877,0xc5c3dde1fec185e8c0202f4d7c731729d8f3bfb4,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,56414,1594593071,21997866,8.9957373507394e-05,2025-03-07,22,Friday,March,True
0x8ba7a82d41b62c47af026197ac74b6cbb8f38f364c7da7014a5254ddae56006b,0xe7f3b4b532640df68f656d8e04ae4da5cd1c2b8c,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50438,1594593071,21997866,8.0428085315098e-05,2025-03-07,22,Friday,March,True
0x461528a1daf130b22d92c13dea64185ab0cbd9f8d52379637f60a40ae108d54a,0xbf9314f81df6364501b26b5db10d18a13ed0cea2,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53438,1594593071,21997866,8.5211864528098e-05,2025-03-07,22,Friday,March,True
